mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.4820175170898438,0.14968901133168827,0.11636606852213542,0.02586270502322159,0.9,0.05,6,200,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.7}",-37.53537918460934,-31.115478822031548,-34.38453413911979,-34.34513071525356,2.6210614438576725,11,-14.059041657445901,-18.354476758771504,-20.720274278298827,-17.71126423150541,2.757208343440011
0.6000760396321615,0.10297448197920445,0.03501812616984049,0.001120772602225527,0.8,0.05,6,100,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-37.70123480761455,-31.07114833502336,-34.30099895730588,-34.3577940333146,2.707019384120142,12,-16.705574548892546,-20.979130830790734,-23.12862041644403,-20.2711085987091,2.669563155900098
1.70184326171875,0.35077048308851083,0.08419195810953777,0.003261621736479972,0.8,0.05,6,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-37.8671309774817,-31.12113698684638,-34.14752045357376,-34.37859613930062,2.7588833139300597,13,-11.624656432972902,-16.45706242303312,-18.93879544284938,-15.673504766285134,3.0369534421890094
1.32136074701945,0.5782133841085411,0.07663536071777344,0.026088930676082984,0.9,0.05,6,100,0.7,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.7}",-37.53679626435401,-31.040732176996595,-34.59353631603017,-34.39035491912693,2.6558958522250506,14,-16.67450773418016,-20.882625565234704,-23.030432377589495,-20.195855225668122,2.6398465413297316
1.4640090465545654,0.23786055940220624,0.08052277565002441,0.001689443954749551,0.7,0.05,6,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.8}",-37.75668950910381,-31.22354304933123,-34.190956212409255,-34.390396256948094,2.6708716323495074,15,-11.756215193106247,-16.57191081614631,-18.91551128494076,-15.74787909806444,2.980285370781681
1.181499719619751,0.31033610638944015,0.06929930051167806,0.011044738372609894,0.8,0.05,6,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",-37.668756406186354,-31.274924988258757,-34.253869195771514,-34.39918353007221,2.6122923830784393,16,-13.64220218495118,-18.198871192390417,-20.53254304923572,-17.45787214219244,2.8613527104970338
0.9560170968373617,0.20452002894082413,0.06633973121643066,0.02401299546356337,0.7,0.05,6,200,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.9}",-38.13158828741336,-31.172984036362323,-34.07330429675193,-34.45929220684254,2.853919326206036,17,-13.624813896996695,-18.26460426110855,-20.59264982631339,-17.49402266147288,2.8963231156924887
0.6419277191162109,0.1661526931250834,0.037396907806396484,0.0009663215503708775,0.8,0.05,6,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",-37.737003359847314,-31.242502304695932,-34.460848093189234,-34.48011791924416,2.651403965636287,18,-16.25372451479702,-20.779322310546725,-23.00808165737986,-20.0137094942412,2.810095768327527
0.44951534271240234,0.0862290780669372,0.03254532814025879,0.007623029012857789,0.7,0.05,6,100,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.9}",-37.9725151951693,-31.13187700701015,-34.38142958617933,-34.49527392945293,2.793838829304806,19,-16.24131426262298,-20.853990504100828,-23.050969881776282,-20.048758216166696,2.8377399095072438
1.6957263946533203,0.28751124220741026,0.08883047103881836,0.005499040817110405,0.8,0.05,6,300,0.7,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'n_estimators': 300, 'subsample': 0.7}",-38.02668735740716,-31.282998117331303,-34.2333343110076,-34.514339928582025,2.760260767815246,20,-12.072139601695774,-16.66648856252607,-19.03788421467948,-15.92550412630044,2.891619264284787
